at1,at2,at3,at4,at5,at6,at7,at8,at9,at10,at11,at12,at13,at14,at15,at16,at17,at18,at19,at20,at21,at22,at23,at24,at25,at26,at27,at28,at29,at30,at31,label
0.57143,0.14286,1,0.5,0.6,1,1,0.2,0.16667,0.5,0.83333,0,1,0.095238,0.66304,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.20863,1
0.57143,0.14286,0.66667,0.6,0.5,1,1,1,1,0,1,0,1,0.095238,0.92391,0.020408,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.20923,1
0.71429,0.28571,0,0.8,0.9,0,1,0.8,0.5,0,1,0,1,0.19048,0.41304,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.20968,0
0.85714,0.28571,0.33333,0.3,0.4,1,1,0.7,0.16667,0.5,1,0,1,0.047619,0.63043,0.020408,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20973,0
0.42857,0.14286,0.66667,0.6,0,1,1,0.6,0.5,0.25,0.83333,0,1,0.095238,0.88043,0.020408,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21002,1
1,0.14286,0.66667,0.4,0.5,1,1,0.9,0.33333,0.25,1,0,1,0.14286,0.8587,0.020408,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2102,1
0.28571,0,0.33333,0.4,0.4,0,1,0.8,0.83333,0,1,0,1,0.095238,0.93478,0.020408,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21049,0
0.14286,0.14286,0.33333,0.9,0.1,1,1,1,1,0,1,0,1,0,0.77174,0.05102,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21051,0
0.57143,0.14286,0,0,0,0,0,1,1,0.25,1,0,1,0.14286,0.61957,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21051,0
0.71429,0.28571,0.33333,0.8,0.8,0,1,0.8,0.83333,0,0.83333,0,1,0.19048,0.67391,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21054,0
0.85714,0.57143,0.33333,0.3,0,1,1,1,1,0,0.16667,0,1,0,0.5,0.05102,0.16667,0,1,1,1,1,1,1,1,1,1,1,1,1,0.21056,0
1,0.28571,1,0.5,0.1,0,1,1,0,0.5,0.16667,0,0.8,0.047619,0.3913,0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21058,1
0.85714,0.28571,0.66667,0,0,1,1,0.9,0.5,0.25,1,0,0.4,0.14286,0.75,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21058,1
0.42857,0.28571,0.33333,0.2,0.6,0,1,0.8,0.33333,0.25,1,0,1,0.047619,0.53261,0.010204,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21062,0
0.71429,0.28571,0,0.5,0.7,1,1,0.7,0.16667,0.5,1,0,1,0.047619,0.34783,0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21062,0
0.57143,0.42857,1,0.5,0.2,0,1,1,0,0.25,0.16667,0,1,0.047619,0.3913,0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21062,1
0.42857,0.28571,0,0.5,0.7,0,0,0.8,0.5,0.5,0.83333,0,1,0.095238,0.45652,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21064,0
0.14286,0.14286,0.33333,0.3,0.4,1,1,0.9,0.83333,0.25,1,0,1,0.14286,0.83696,0,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21066,0
0.57143,0,0.66667,0.3,0.2,1,1,0.7,0.33333,0,0.33333,0,1,0.047619,0.54348,0.010204,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21066,1
0.85714,0.14286,0.33333,0.2,0.2,1,1,0.7,0.33333,0.25,1,0,1,0.047619,0.65217,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21093,0
1,0.57143,0.33333,0.8,1,1,1,1,0.16667,0.25,1,0,1,0.095238,0.33696,0.010204,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21093,0
0.42857,0.28571,0.66667,0.7,1,1,1,0.8,0.5,0,1,0,1,0.095238,0.75,0.020408,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21095,1
0.57143,0,0.33333,0.8,0.5,0,1,0.8,1,0.25,0.83333,0,1,0.095238,0.86957,0.020408,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21107,0
0.42857,0.28571,0.66667,0.5,0.3,1,1,0.6,0.5,0.5,0.66667,0,0.8,0.14286,0.81522,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21108,1
0.85714,0.14286,0.33333,0,0,1,1,0.9,0.66667,0.5,1,0,1,0,0.41304,0.05102,0.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2111,0
0.85714,0.14286,0.66667,0.7,0.6,0,1,0.8,0.66667,0.25,0.66667,0,0.4,0.14286,0.8587,0.020408,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2111,1
0.71429,0.14286,0.66667,0.7,0.6,0,1,0.5,0.16667,0.5,1,0,0.6,0.095238,0.73913,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2111,1
1,0,0.33333,1,0.5,1,1,1,0.33333,0.5,0.5,0,1,0.095238,0.6087,0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2111,0
0.28571,0,1,0.6,0.5,0,1,0.9,0.83333,0,1,0,1,0.14286,0.83696,0.020408,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21112,1
0.42857,0.14286,0.33333,0.5,0.1,1,1,0.6,1,0.25,0.83333,0,1,0.14286,0.84783,0.020408,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21143,0
1,0.28571,0.33333,0.7,0.5,1,1,1,0.16667,0,0,0,0.6,0.19048,0.67391,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21143,0
1,0.28571,0.66667,0.9,0.9,1,1,0.5,0.5,0,0.83333,0,1,0.19048,0.86957,0.020408,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21149,1
1,0.14286,0.33333,0.5,0.5,1,1,0.9,0.5,0.25,1,0,1,0.095238,0.63043,0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21151,0
1,0.14286,0.66667,0,0,1,1,1,0.16667,0,1,0,1,0.047619,0.44565,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21151,1
1,1,0.33333,0.7,0.5,0,1,0.6,0.33333,0.5,0.33333,0,1,0.095238,0.34783,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21153,0
1,0.28571,0,0.4,0.4,1,1,1,0.66667,0.25,1,0,1,0.095238,0.56522,0,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21155,0
0.57143,0,1,0.5,0.6,1,1,1,0.83333,0,0,0,0.8,0.14286,0.81522,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21157,1
0.42857,0.14286,0.33333,0.2,0,0,1,0.9,0.83333,0,1,0,0.8,0,0.53261,0.05102,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21159,0
0.71429,0.14286,0.66667,0,0,1,1,0.8,0.83333,0.25,1,0,1,0.095238,0.42391,0.010204,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21188,1
0.85714,0.28571,0.66667,0.4,0.3,1,1,0.7,0.66667,0.25,0.16667,0,1,0.14286,0.71739,0.010204,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21188,1
0.85714,0.42857,0.33333,0.3,0.2,1,1,0.5,0.33333,0.75,0,0,1,0,0.40217,0.05102,0.83333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21188,0
1,1,0.33333,0.5,0.5,1,1,0.7,1,0.25,0.83333,0,0.8,0.14286,0.63043,0.010204,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21195,0
0.85714,0.28571,0.66667,0.5,0.3,1,1,0.8,0.66667,0.75,1,0,1,0.14286,0.69565,0.010204,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21195,1
1,0.28571,0.66667,0.7,0,1,1,0.7,0.5,0.5,1,0,0.8,0.047619,0.36957,0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21197,1
0.71429,0.28571,0,0.6,0.8,0,1,0.9,0.5,0.25,1,0,1,0.14286,0.42391,0.010204,0.83333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21197,0
1,0,1,0.5,0,1,1,0.4,0.83333,1,0.5,0,1,0.095238,0.3913,0.030612,0.16667,0,1,1,1,1,1,1,1,1,1,1,1,1,0.21199,1
1,0.42857,0,0.6,0,1,0,1,0.83333,0.5,0,0,1,0.047619,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21199,0
0.57143,0.28571,0,1,1,1,1,0.7,0.66667,0.25,0,0,0.4,0.14286,0.68478,0,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21199,0
0.57143,0.14286,0.33333,0.5,0.5,1,1,0.8,1,0.25,0,0,1,0.14286,0.67391,0,0.66667,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21201,0
1,0,0.66667,0.6,0.5,1,1,0.7,0.83333,0.25,1,0,0.2,0.14286,0.80435,0.010204,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21201,1
1,0.14286,0.66667,0.6,0.5,0,1,0.8,0.66667,0.25,0.66667,0,0.2,0.047619,0.84783,0,0.83333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21201,1
0.42857,0.28571,0.33333,0.5,0.6,0,1,0.8,1,0.25,1,0,1,0.095238,0.58696,0,0.83333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21203,0
0.42857,0.28571,0,0.1,0.3,1,1,0.7,0.16667,0.25,1,0,1,0,0.51087,0.05102,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21203,0
1,0.14286,0,0.3,0,0,1,0.7,0.66667,0.25,0,0,0.8,0.14286,0.66304,0.010204,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21203,0
0.71429,0.28571,0.33333,0.2,0.6,1,0,0.8,0.5,0.5,1,0,1,0.19048,0.67391,0.010204,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21203,0
0.57143,0.28571,1,0.5,0.1,0,1,0.9,0.66667,0.75,0,0,0.8,0.095238,0.3587,0,0.16667,0,1,1,1,1,1,1,1,1,1,1,1,1,0.21205,1
0.71429,0,0.66667,0.7,0.6,1,1,0.6,0.66667,0,0.83333,0,0.2,0.14286,0.71739,0,0.83333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21207,1
1,0,0.66667,0.3,0.2,1,1,0.7,0.66667,0,1,0,1,0.095238,0.88043,0.020408,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21234,1
0.85714,0.57143,0,0.9,0.6,1,1,0.8,0.83333,0,0.83333,0,0.2,0.14286,0.71739,0,0.83333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21245,0
0.42857,0.28571,0.33333,0.6,0.7,1,1,0.3,0.66667,0.25,0,0,0.8,0.047619,0.34783,0.010204,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21253,0
0.42857,0.28571,0.33333,0.5,0.7,0,1,0.9,0.83333,0.5,1,0,1,0.14286,0.83696,0.020408,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21278,0
0.85714,0,0.33333,0.8,0.8,0,1,0.7,1,0.5,0.16667,0,1,0.14286,0.84783,0.020408,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21278,0
0.42857,0.14286,0.33333,0.2,0.2,1,1,0.8,0.66667,0.25,0.83333,0,0.8,0.14286,0.77174,0.010204,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2128,0
0.28571,0,0.33333,0.5,0.5,1,1,0.7,0.66667,0.5,1,0,0.2,0.28571,0.65217,0,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21292,0
0.57143,0.28571,0.66667,0.1,0,0,1,0.9,1,0.25,1,0,1,0.047619,0.69565,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21379,1
0.14286,0.14286,0,0.4,0.5,0,0,0.8,0.83333,0.5,1,1,1,0.095238,0.66304,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21415,0
0.85714,0.14286,1,0.5,0.5,1,1,0.8,0.16667,0.25,0.83333,0,0.8,0.14286,0.42391,0.010204,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21415,1
0.85714,0.28571,0,0.5,0.9,1,1,0.8,0.83333,0.25,0,0,1,0.047619,0.3913,0.010204,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21417,0
0.42857,0,0,0.4,0.6,1,1,0.5,0.83333,0.25,0,0,1,0,0.54348,0.05102,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21427,0
0.71429,0.28571,0,0.5,0.4,0,1,0.8,0.66667,0,0.33333,0,1,0.19048,0.47826,0.020408,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21427,0
0.28571,0.28571,0.33333,0.4,0.6,0,0,0.7,0.5,0.25,0.5,0,1,0,0.5,0.05102,0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21429,0
0.14286,0.14286,0.33333,0.5,0.5,1,1,1,1,0,0,0,1,0.095238,0.59783,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21429,0
0.85714,0.28571,0.33333,0.2,0.4,0,1,0.8,0.66667,0.25,1,0,1,0.095238,0.51087,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21431,0
1,0,1,0.8,0.2,0,1,0.5,0.66667,0.5,0,0,0.8,0.095238,0.71739,0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21433,1
