@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.39870,0.31328,p
0.34499,0.73330,p
0.15981,0.64385,n
0.22903,0.44606,n
0.23385,0.54477,n
0.77987,0.85447,p
0.57593,0.58462,n
0.69261,0.30721,p
0.22284,0.30137,p
0.85470,0.36602,p
0.63470,0.02101,p
0.00665,0.00259,p
0.24702,0.42572,n
0.40323,0.83658,p
0.30508,0.50766,n
0.28267,0.45011,n
0.21901,0.47425,n
0.92550,0.50984,p
0.54465,0.59612,p
0.28359,0.80080,p
0.83319,0.95374,p
0.11648,0.54951,n
0.97884,0.79214,p
0.44144,0.78986,p
0.90115,0.35590,p
0.07281,0.46374,n
0.19826,0.58659,n
0.08889,0.25316,p
0.26054,0.54454,n
0.27266,0.66693,p
0.93081,0.79826,p
0.25211,0.62361,n
0.24397,0.50260,n
0.30302,0.53992,n
0.14170,0.52865,n
0.90610,0.32673,p
0.94890,0.54954,p
0.91371,0.39769,p
0.44987,0.78016,p
0.29873,0.55890,n
0.01802,0.63184,p
0.30368,0.11985,p
0.31374,0.43880,n
0.43489,0.70336,p
0.51887,0.64235,p
0.26617,0.37160,n
0.10299,0.49821,p
0.23538,0.97388,p
0.22902,0.53513,n
0.17842,0.44106,p
0.86051,0.32494,p
0.68687,0.37169,p
0.17901,0.36412,n
0.08823,0.57246,n
0.40441,0.38982,n
0.52793,0.59056,n
0.23781,0.37791,p
0.13224,0.51404,p
0.33414,0.22671,p
0.32415,0.42014,p
0.15954,0.40058,n
0.48857,0.46538,n
0.21834,0.42581,n
0.25830,0.39309,n
0.25845,0.55763,n
0.85150,0.53960,p
0.52043,0.59472,n
0.84083,0.88749,p
0.04956,0.37171,p
0.11290,0.44041,n
0.98344,0.22139,p
0.25870,0.44970,p
0.23799,0.60491,n
0.61737,0.44055,p
0.98093,0.76725,p
0.50653,0.25566,p
0.24664,0.54414,n
0.04595,0.03392,p
0.32370,0.50048,n
0.33984,0.46210,n
0.89367,0.32177,n
0.30034,0.55324,n
0.16648,0.51080,p
0.33239,0.47314,n
0.22788,0.48265,n
0.59409,0.97904,p
0.91566,0.20269,p
0.11541,0.58343,n
0.60751,0.19700,p
0.96895,0.61417,n
0.57405,0.54238,n
0.44652,0.53757,p
0.45663,0.46368,p
0.25187,0.55001,n
0.49258,0.35663,n
0.14689,0.38868,n
0.57431,0.07524,p
0.53038,0.65434,p
0.00307,0.14429,p
0.20190,0.42333,n
0.11863,0.31896,p
0.33299,0.47791,n
0.50644,0.03128,p
0.16291,0.25841,p
0.37974,0.44157,p
0.34907,0.60889,n
0.15425,0.63920,n
0.98410,0.37726,p
0.51993,0.48288,n
0.42710,0.32420,p
0.89791,0.66698,p
0.22153,0.38418,p
0.11719,0.44779,n
0.96996,0.01529,p
0.77213,0.60748,p
0.73483,0.18170,n
0.36192,0.58594,n
0.15586,0.82053,p
0.40163,0.49530,n
0.26934,0.46035,n
0.27104,0.89489,p
0.19884,0.38415,n
0.14946,0.55282,n
0.23456,0.55447,n
0.49455,0.43929,p
0.67069,0.76427,p
0.15262,0.57879,p
0.64026,0.01965,p
0.22948,0.36197,n
0.07706,0.09524,p
0.94735,0.76091,p
0.87466,0.82784,p
0.62281,0.68479,n
0.26988,0.53947,n
0.42356,0.13137,p
0.74998,0.21769,p
0.40993,0.91339,p
0.81175,0.20700,p
0.40980,0.66920,n
0.38203,0.58180,n
0.27858,0.63783,n
0.28657,0.73062,p
0.94302,0.43242,p
0.26532,0.51640,n
0.30305,0.64703,n
0.53950,0.42827,n
0.02888,0.15154,p
0.25361,0.42343,n
0.03640,0.54490,p
0.39278,0.38327,n
0.24174,0.62245,n
0.41363,0.29845,p
0.60162,0.16263,n
0.28344,0.50380,n
0.07801,0.52786,n
0.48047,0.91485,p
0.32501,0.54922,p
0.26779,0.38100,n
0.37304,0.47506,n
0.15792,0.41568,n
0.29226,0.22334,n
0.42651,0.58506,n
0.28477,0.43724,n
0.23368,0.45685,n
0.24786,0.51542,n
0.37635,0.53786,n
0.69880,0.23299,p
0.04497,0.12929,p
0.08618,0.50505,n
0.87015,0.31899,p
0.51143,0.63973,n
0.15766,0.68591,p
0.20011,0.36240,n
0.55868,0.56769,p
0.51237,0.44782,n
0.40352,0.58994,p
0.37605,0.48823,n
0.68078,0.70337,p
0.55400,0.74858,p
0.13769,0.38782,n
0.22319,0.47194,n
0.07155,0.79343,p
0.08905,0.49559,n
0.21216,0.56759,n
0.82531,0.87351,p
0.31366,0.49817,n
0.53421,0.71987,p
0.59216,0.44987,n
0.82139,0.93509,p
0.95845,0.44562,p
0.46433,0.40063,n
0.19292,0.56713,n
0.09801,0.08819,n
0.45309,0.59361,n
0.03909,0.49906,p
0.74072,0.43355,p
0.36835,0.72530,p
0.99288,0.53974,p
0.30170,0.60434,n
