@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.134,0.847,n
0.094,0.028,p
0.002,0.445,n
0.025,0.541,n
0.939,0.381,p
0.422,0.029,p
0.231,0.219,p
0.460,0.290,p
0.186,0.993,n
0.860,0.121,p
0.721,0.711,n
0.422,0.830,n
0.303,0.588,n
0.035,0.243,p
0.797,0.414,p
0.549,0.703,n
0.375,0.439,n
0.778,0.521,p
0.490,0.030,p
0.703,0.983,n
0.540,0.860,n
0.232,0.514,n
0.578,0.459,p
0.886,0.741,p
0.200,0.505,n
0.485,0.357,n
0.538,0.623,n
0.458,0.028,p
0.177,0.584,n
0.798,0.797,n
0.255,0.842,n
0.083,0.017,p
0.756,0.250,p
0.625,0.344,p
0.455,0.322,n
0.474,0.024,p
0.421,0.188,p
0.900,0.510,p
0.719,0.160,p
0.705,0.678,n
0.221,0.976,n
0.395,0.576,n
0.876,0.306,p
0.819,0.962,n
0.872,0.900,n
0.987,0.783,p
0.838,0.932,n
0.344,0.882,n
0.725,0.085,p
0.759,0.600,p
0.841,0.368,p
0.291,0.867,n
0.551,0.104,p
0.039,0.073,n
0.224,0.082,p
0.267,0.891,n
0.925,0.458,p
0.670,0.092,n
0.421,0.116,p
0.167,0.241,n
0.294,0.253,p
0.913,0.970,n
0.970,0.111,p
0.618,0.980,p
0.542,0.307,p
0.246,0.081,n
0.643,0.941,n
0.390,0.307,p
0.317,0.847,n
0.303,0.334,n
0.635,0.291,p
0.154,0.501,n
0.173,0.776,n
0.985,0.822,p
0.107,0.514,n
0.910,0.032,p
0.316,0.903,n
0.907,0.841,n
0.690,0.178,p
0.158,0.715,n
0.541,0.851,n
0.453,0.396,p
0.417,0.571,n
0.829,0.398,p
0.731,0.238,p
0.883,0.312,n
0.571,0.176,p
0.682,0.717,n
0.730,0.041,p
0.268,0.913,n
0.924,0.971,n
0.959,0.119,p
0.601,0.408,p
0.004,0.190,p
0.606,0.835,n
0.207,0.285,n
0.545,0.491,p
0.856,0.769,n
0.383,0.284,p
0.545,0.965,n
0.450,0.305,p
0.399,0.783,n
0.204,0.004,p
0.278,0.598,n
0.462,0.835,n
0.409,0.745,n
0.004,0.389,n
0.584,0.734,n
0.898,0.749,p
0.629,0.634,n
0.767,0.815,n
0.605,0.349,p
0.708,0.874,n
0.467,0.045,p
0.946,0.690,p
0.402,0.689,n
0.209,0.208,n
0.512,0.737,n
0.169,0.653,n
0.232,0.561,n
0.172,0.790,n
0.707,0.844,n
0.031,0.899,p
0.317,0.432,n
0.166,0.973,n
0.444,0.913,n
0.718,0.718,n
0.305,0.106,p
0.492,0.100,p
0.055,0.598,n
0.815,0.964,n
0.118,0.693,n
0.378,0.169,p
0.580,0.212,p
0.909,0.994,n
0.046,0.797,p
0.320,0.383,n
0.145,0.665,n
0.906,0.035,n
0.274,0.117,p
0.745,0.687,n
0.846,0.663,n
0.631,0.970,n
0.353,0.413,n
0.752,0.252,p
0.855,0.852,n
0.053,0.091,n
0.040,0.531,n
0.443,0.128,p
0.525,0.090,p
0.800,0.086,n
0.584,0.105,p
0.719,0.835,n
0.157,0.370,n
0.521,0.097,p
0.298,0.353,n
0.325,0.749,n
0.326,0.328,n
0.970,0.816,p
0.925,0.922,n
0.135,0.524,n
0.403,0.465,n
0.980,0.532,n
0.148,0.687,n
0.907,0.185,p
0.728,0.050,n
0.546,0.266,p
0.262,0.632,n
0.368,0.848,n
0.598,0.865,n
0.544,0.945,n
0.798,0.726,n
0.998,0.257,n
0.747,0.770,n
0.040,0.851,n
0.458,0.190,p
0.691,0.006,p
0.303,0.887,n
0.551,0.526,p
0.542,0.819,n
0.586,0.550,p
0.402,0.937,n
0.925,0.846,n
0.383,0.464,n
0.415,0.018,p
0.172,0.260,n
0.258,0.514,n
0.777,0.486,p
0.129,0.967,n
0.229,0.026,p
0.996,0.550,p
0.265,0.279,n
0.480,0.793,n
0.786,0.677,p
0.905,0.201,p
0.492,0.895,n
0.337,0.486,n
0.009,0.989,n
0.541,0.440,p
0.412,0.130,p
0.195,0.561,n
0.149,0.414,p
0.471,0.338,n
0.058,0.326,n
0.690,0.645,n
0.892,0.315,p
0.330,0.128,p
0.199,0.568,n
0.884,0.422,p
0.020,0.305,n
0.085,0.225,n
0.251,0.770,n
0.681,0.041,p
0.725,0.103,p
0.269,0.050,p
0.139,0.399,n
0.274,0.515,p
0.804,0.641,p
0.405,0.679,n
0.215,0.435,n
0.546,0.250,p
0.530,0.473,p
0.104,0.373,n
0.544,0.545,n
0.848,0.335,p
0.382,0.440,n
0.604,0.008,p
0.952,0.920,n
0.380,0.562,n
0.460,0.779,n
0.606,0.053,p
0.001,0.042,n
0.111,0.140,n
0.802,0.820,n
0.562,0.358,p
0.159,0.777,n
0.772,0.056,n
0.435,0.376,p
0.056,0.673,p
0.710,0.975,n
0.834,0.175,p
0.717,0.100,p
0.461,0.471,n
0.493,0.773,n
0.194,0.441,n
0.571,0.927,n
0.289,0.156,p
0.019,0.397,n
0.634,0.736,p
0.538,0.391,p
0.804,0.982,n
0.662,0.342,p
0.775,0.935,p
0.176,0.585,n
0.427,0.794,n
0.725,0.700,n
0.654,0.537,p
0.387,0.560,n
0.278,0.416,n
0.595,0.986,n
0.502,0.418,p
0.360,0.151,p
0.567,0.845,n
0.349,0.279,p
0.468,0.149,p
0.429,0.872,n
0.591,0.129,p
0.539,0.074,p
0.615,0.755,n
0.316,0.812,n
0.957,0.629,p
0.854,0.633,p
0.906,0.708,p
0.134,0.716,p
0.255,0.004,p
0.968,0.769,p
0.421,0.272,p
0.214,0.823,n
0.539,0.924,n
0.957,0.595,p
0.190,0.510,n
0.197,0.360,p
0.981,0.777,p
0.043,0.501,n
0.991,0.835,p
0.427,0.589,n
0.865,0.787,n
0.114,0.574,n
0.637,0.583,p
0.485,0.634,n
0.446,0.500,n
0.148,0.108,p
0.317,0.509,p
0.996,0.852,n
0.038,0.063,n
0.550,0.574,n
0.619,0.075,n
0.936,0.267,p
0.976,0.822,p
0.075,0.315,n
0.859,0.133,p
0.887,0.041,p
0.588,0.664,n
0.587,0.122,p
0.267,0.196,p
0.253,0.552,n
0.817,0.035,p
0.528,0.209,p
0.490,0.371,p
0.653,0.195,n
0.426,0.474,n
0.023,0.021,p
0.626,0.665,n
0.501,0.478,p
0.450,0.471,n
0.563,0.806,n
0.607,0.259,p
0.605,0.046,p
0.892,0.232,p
0.700,0.926,n
0.626,0.384,p
0.008,0.751,n
0.742,0.306,p
0.338,0.589,p
0.870,0.209,p
0.120,0.989,n
0.128,0.691,n
0.294,0.420,n
0.074,0.199,n
0.152,0.990,n
0.704,0.307,p
0.874,0.513,p
0.318,0.604,n
0.990,0.265,n
0.373,0.231,p
0.068,0.003,p
